ham_word,hword_count,sword_count
two,29,26
isComing,1,0
captain,2,0
Muz,4,0
TONIGHT,0,0
pract,8,0
kothi,1,0
invention,1,0
woken,2,0
teaches,2,0
ass,69,11
formclark,0,0
moseley,1,0
residency,1,0
glorious,1,0
quick,10,0
Career,0,0
faglord,1,0
hell,12,0
Camera,1,4
EXACT,1,0
checked,6,0
tai,36,7
WKEND,1,0
vote,4,0
ZOE,1,1
STUDENT,2,0
Grazed,1,0
Hicts,0,0
BELIEVE,1,0
happiness,7,0
bash,1,0
REALLYNEED,1,0
postal,1,0
Cttargg,0,0
Though,5,0
crave,11,0
earliest,1,0
toldshe,0,0
keen,1,0
survey,0,1
hppnss,0,0
transport,2,0
hair,18,0
friend,64,6
Wait,12,0
satsgettin,1,0
stalking,1,0
lanre,1,0
message,43,26
deciding,2,0
overdid,1,0
inside,7,0
hogidhechinnu,0,0
atlanta,1,0
Snd,1,0
access,2,5
attractioni,0,0
prix,0,0
eve,258,46
thus,1,0
either,11,10
asked,19,6
stoners,1,0
chief,0,0
weve,7,1
perfume,0,0
JAN,2,2
Single,2,1
james,1,0
OVERDOSE,1,0
School,1,0
gonna,55,0
real,97,11
zyada,1,0
shades,0,0
DAYU,0,0
uSo,0,0
warming,1,0
completed,2,0
SNORINGTHEY,0,0
slob,0,0
Yessura,0,0
honey,4,0
salary,2,0
infernal,4,0
Gam,1,6
assistance,1,0
Yet,1,0
professors,2,0
Ctargg,0,0
spreadsheet,1,0
YEAH,2,0
Wot,6,0
saved,3,0
bleak,0,0
factory,1,0
plaid,1,0
Question,1,0
owo,1,0
entertaining,1,0
dogg,3,2
fellow,0,0
arrive,1,6
TAKE,2,1
remain,7,0
brin,29,2
Small,1,0
virtual,1,0
lover,6,2
jaya,2,0
mentionedtomorrow,0,0
blackberry,4,0
Eta,1,0
mad,37,1
blur,2,0
dads,0,0
arun,1,0
gettin,48,6
Rofl,1,0
problems,4,0
korli,0,0
played,2,2
ITBOTH,0,0
likely,2,0
pls,26,7
liao,4,0
else,14,0
theyre,0,0
Avenge,1,0
nigpun,0,0
hannaford,1,0
NETHING,1,0
Cud,1,0
IDPS,1,0
ertini,1,0
rem,51,8
place,53,5
nearby,1,0
CERI,1,0
receipt,2,3
money,36,2
conducts,1,0
hours,12,5
SAY,2,0
newsHype,0,0
marry,6,0
coping,2,0
missions,2,0
OFSI,1,0
tear,3,0
post,23,6
meow,1,3
difference,0,0
mei,1,0
linear,1,0
opportunity,3,0
employers,0,0
bevieswaz,0,0
feathery,1,0
excuse,8,0
Dependable,1,0
tui,3,0
Keng,0,0
sim,12,3
nails,1,0
Intelligent,1,0
EVER,4,2
date,12,18
Heehee,1,0
Discussed,1,0
anniversary,2,0
onlinewhy,0,0
James,0,1
opinions,1,0
forth,1,0
machines,1,0
vivek,0,0
convey,7,0
Mountains,1,0
planned,4,0
Depends,4,0
thangam,1,0
UPDAT,1,0
predictive,1,0
bridge,1,0
Haiz,0,0
sat,30,4
edrunk,1,0
scenery,1,0
weakness,2,0
wishes,8,0
traffic,0,0
REBEL,0,0
Remembr,2,0
CLoSE,1,0
IMIN,1,0
Set,1,0
police,1,0
hopes,1,0
Sort,1,0
exposed,1,0
possibly,1,0
request,7,1
Abeg,0,0
World,2,1
worlds,1,1
Jason,1,0
die,19,2
tired,11,0
transfer,5,1
wesley,2,0
upstairs,1,0
quarter,0,0
ros,26,3
darren,7,0
Colleagues,5,0
duo,1,0
academic,1,0
sub,7,31
fishhead,1,0
thoughtsI,0,0
hold,22,1
onedge,0,0
holla,6,0
private,1,2
catching,2,0
none,2,1
anjolas,0,0
Exactly,0,0
seven,1,0
Icic,0,0
duvet,1,0
empty,4,0
hole,14,0
spoilt,1,0
incomm,1,0
beer,2,0
knowing,3,0
lots,15,1
mushy,0,0
fear,1,0
Sfine,0,0
formallyPls,0,0
kept,4,3
Gal,1,0
dosomething,1,0
Ditto,0,0
cloth,2,0
coughing,1,0
muchi,0,0
toking,1,0
lamp,0,0
SAID,2,0
board,4,0
slept,6,0
DREAMZ,1,0
Wif,6,0
logoff,1,0
Expression,1,0
guidance,0,0
freaky,1,0
AGO,0,0
Looking,1,0
within,6,7
beads,1,0
Mayb,13,0
tops,2,0
godtaken,0,0
watched,1,0
Superb,1,0
cookies,1,0
MOyeP,0,0
AFTERNOON,0,0
redred,0,0
frndZ,1,0
email,9,1
struggling,1,0
othrs,0,0
shipped,1,0
HUNLOVE,0,0
sooooo,2,0
pix,2,0
expert,1,0
night,87,6
Still,15,0
sisters,1,0
burger,1,0
division,1,0
idconvey,0,0
relationshipits,0,0
chocolate,2,0
planetI,0,0
JUS,3,0
Meds,1,0
river,4,0
Amrita,1,0
Wana,1,0
character,5,0
pieces,3,0
satü,0,0
man,106,16
ofice,1,0
woman,2,1
beloved,2,0
telephone,1,1
irulinae,1,0
Food,1,0
Abbey,0,0
prices,1,0
petrol,1,0
exist,0,0
scores,1,1
heat,11,0
wrenching,1,0
see,144,11
moon,3,0
wicket,0,0
oso,20,1
voucher,1,22
burial,0,0
PetrolRs,0,0
dai,1,0
one,352,136
cricketer,2,0
away,19,1
evng,5,0
ethreats,0,0
deary,0,0
deer,1,0
making,21,0
RTM,1,0
Gud,45,0
help,26,4
RANG,1,1
childs,0,0
conform,1,0
ahnow,0,0
spontaneously,0,0
lotto,1,0
checkboxes,1,0
strike,2,0
cuddling,1,0
sports,1,1
greatly,1,0
BANG,1,0
odi,1,0
Everyday,1,0
tomo,59,6
named,2,0
AGOCUSOON,0,0
childish,4,0
YOURJOB,0,0
Nojst,0,0
SenderName,0,0
defeat,2,0
cinema,2,3
APRIL,0,0
Mileage,1,0
processits,0,0
luvd,0,0
aight,6,2
Ilol,1,0
questions,5,2
throat,3,0
Years,1,2
TayseerTISSCO,0,0
URSELF,3,0
healthy,0,0
headache,3,0
received,1,2
quit,32,0
Geeee,7,0
requirements,1,0
Aiyah,6,0
worry,14,0
lect,26,56
bong,1,0
bao,1,0
MELNITE,1,0
stuffing,1,0
stores,1,0
citylink,1,0
falconerf,1,0
BARMED,0,0
hundreds,1,0
Affectionate,0,0
racing,2,0
mummys,0,0
rakhesh,1,0
Smiling,1,0
ela,11,0
bro,30,3
east,14,0
fakemy,0,0
diff,22,0
txt,9,77
truly,1,3
brothers,1,0
lac,67,6
Rent,1,2
leaving,15,0
thriller,1,0
trouble,7,0
Mmm,8,0
ramen,1,0
financial,1,0
avent,23,0
Princess,0,0
rayan,1,0
Celebrations,1,0
thangamits,0,0
foregate,1,0
sooner,2,0
mudyadhu,0,0
bugis,4,0
abdomen,1,0
thenwill,0,0
colany,1,0
suzy,1,0
offense,1,0
suite,2,0
spoiled,0,0
dancing,2,0
worse,5,0
roger,0,0
towards,7,0
Finish,4,0
bestrply,0,0
SATLOVE,0,0
somebody,7,0
spotty,0,0
hamster,2,0
Ladies,1,0
pple,5,0
washob,1,0
dane,1,0
Cannot,1,0
numbers,2,9
punch,1,0
wat,101,1
todayGood,0,0
four,2,1
Maybe,11,0
Lands,1,0
sweets,2,0
self,12,2
gimme,1,0
Resend,1,0
gei,0,0
WORLD,4,0
mailed,2,0
takes,12,4
govtinstituitions,0,0
slave,4,0
pockets,0,0
BABES,1,0
Datz,2,0
WordsEvry,0,0
acknowledgement,1,0
Quite,4,0
RememberI,1,0
Gaze,1,0
boat,2,0
BeerRs,0,0
ASAP,2,0
shocking,2,0
ron,31,0
coccooning,1,0
extract,1,0
name,22,10
opportunityall,0,0
dengra,0,0
Webpage,1,0
weightHaha,0,0
services,1,11
pongaldo,0,0
CAT,2,0
skype,4,0
deam,0,0
gdthe,0,0
papers,3,0
innu,1,0
cry,2,0
woke,10,0
Reply,9,40
Cramps,1,0
puzzles,1,0
deus,2,0
Shivratri,1,0
killing,2,0
worldvery,0,0
university,2,0
Airtel,1,0
wesleys,1,0
type,13,1
neglect,1,0
returns,5,0
youcarlos,0,0
dates,2,1
ola,21,5
askin,15,0
homecheck,0,0
idc,1,0
Got,22,3
login,2,1
payed,0,0
Obviously,0,0
intentions,1,0
MESSAGE,1,2
nange,1,0
messenger,2,0
hungover,0,0
lotta,2,0
telugu,1,0
SOMEONE,3,0
doke,2,0
hugging,1,0
frnd,22,0
ghodbandar,1,0
desparate,3,0
Goodnoon,0,0
üll,0,0
choices,1,0
scorable,1,0
Dileepthank,0,0
daurgent,0,0
nonetheless,0,0
Sinco,2,0
adi,24,4
answers,3,0
GOODNIGHT,2,0
Detroit,0,1
armenia,1,0
Texting,1,0
MEETIN,1,0
dooms,0,0
srs,2,0
replying,1,6
respect,1,0
hyde,1,0
annoying,1,0
dental,5,0
fixd,1,0
Wah,1,0
immunisation,1,0
FRAN,4,0
btwn,1,0
hav,43,2
sorrowsI,0,0
round,55,3
excuses,1,0
contains,1,0
Except,1,0
Nohe,0,0
use,99,15
made,25,1
MYCALLSU,0,0
youkwhere,0,0
KNOWNEWAY,0,0
sapna,1,0
ITTB,0,0
lunsford,1,0
Common,0,0
nothing,13,2
cannt,0,0
lowes,0,0
Dasara,1,0
vava,3,0
guesses,1,0
Speaking,1,0
Ctagg,0,0
matra,1,0
drunkard,0,0
result,5,3
among,3,2
shorts,0,0
Ohi,0,0
Woman,1,0
tampa,8,0
popcorn,1,0
Thinking,1,0
deleted,4,0
tiz,4,0
brolly,1,0
sayy,1,0
yijue,2,0
cysts,0,0
kanowhr,0,0
hesitant,1,0
stayin,10,0
figure,9,0
vaguely,1,0
hearin,2,0
went,47,0
heartsnot,0,0
responcewhat,0,0
ISH,5,0
tooPray,0,0
olayiwolas,0,0
prior,2,0
greatest,2,0
Haf,2,0
sunny,6,0
CARE,4,0
Anyways,3,0
allows,1,0
sponsors,1,0
education,3,0
owed,5,2
asap,1,0
morn,39,0
vijaykanth,1,0
FREE,1,87
aft,28,1
puzzeles,0,0
Dat,4,2
legs,3,0
mca,1,0
JAZ,1,0
Yesterday,1,0
neighbor,2,0
fool,5,0
data,1,0
shud,1,0
jenny,1,0
ktv,1,0
umma,5,0
dream,11,1
sef,3,0
learn,6,2
understanding,3,0
starring,1,0
nowonion,0,0
broth,12,0
madam,1,0
download,8,6
Designation,1,0
Weiyi,1,0
Smile,3,0
repair,3,0
dawhere,0,0
attitude,1,0
noise,1,0
lovin,9,0
LMAO,1,0
MONKEESPEOPLE,1,0
TOPLAY,1,0
JEN,4,0
letter,7,0
easter,0,0
swatch,2,0
Heart,4,0
temple,4,0
practice,2,0
mths,1,2
gods,0,0
amongst,2,0
spageddies,1,0
medical,6,0
Yelowi,0,0
poor,9,0
suddenly,1,0
silly,1,0
doinat,1,0
BATH,0,0
SCARY,1,0
Waste,1,0
delay,1,0
fill,12,0
concern,1,0
Audrey,1,0
wuldnt,1,0
worldgnun,0,0
pouts,0,0
Com,22,2
uniqueI,0,0
readyall,0,0
Ranjith,3,0
danger,1,0
touch,15,1
feng,2,0
poorly,1,0
modules,2,0
laready,1,0
ITNOW,0,0
age,94,32
Test,1,0
uniform,0,0
lasagna,1,0
ugos,0,0
ctla,1,0
challenge,1,1
GOTTA,1,0
new,65,52
glory,0,0
Haiyoh,0,0
secrets,0,0
insurance,3,0
day,245,64
hypotheticalhuagauahahuagahyuhagga,1,0
intelligent,1,0
didnt,29,0
meDont,0,0
Desires,0,0
Sary,1,0
responding,2,1
frontierville,0,0
dawns,1,0
mac,14,0
storelike,0,0
reapply,0,0
messaged,2,0
snowball,1,0
tears,0,0
bestcongrats,0,0
salon,2,0
hence,2,0
trust,8,0
vitamin,1,0
Become,2,0
technologies,1,0
comedy,3,0
TRY,2,2
maggi,1,0
sehwag,1,0
small,9,0
pendingi,0,0
Kusruthi,4,0
tiime,1,0
eyes,5,0
sense,5,0
silence,1,0
Madamregret,0,0
remember,25,0
nannys,1,0
toothpaste,1,0
Headin,1,0
accident,5,0
LRG,1,0
reminds,1,0
corvettes,1,0
ceiling,0,0
scarcasim,1,0
WID,1,0
exercise,0,0
fne,1,0
quitting,1,0
actin,4,0
hearted,1,0
billion,2,0
exhibition,0,0
Double,2,12
loss,4,0
Neville,0,0
icicibankcom,0,0
embassy,1,0
favourite,2,0
machan,0,0
Yummy,1,0
melike,0,0
Hmmmkbut,0,0
GANG,1,0
DLF,1,0
without,21,0
num,47,34
wot,11,1
hey,1,1
shoreThe,0,0
shindig,1,0
RTO,1,0
Sister,3,0
starving,0,0
Mathews,1,0
thou,78,2
useful,2,0
formal,0,0
hun,13,2
Alwys,2,0
hut,4,0
INFORM,1,2
bomb,1,0
admission,1,0
Margaret,0,0
sucker,0,0
warm,4,2
correction,0,0
muz,6,0
BEAUTIFUL,1,0
Nic,6,0
truffles,1,0
avalarr,1,0
needa,1,0
begin,3,0
GWR,0,0
purchase,2,3
refilled,2,0
lifted,1,0
glad,4,0
Ahhh,0,0
uncle,11,0
Ciao,0,0
leads,1,0
BCK,1,0
festival,1,0
HON,2,14
Laughed,3,0
mattermsg,0,0
Missed,1,1
cuck,1,0
ahsen,0,0
greatness,0,0
gving,2,0
doubt,2,0
AIG,2,0
astoundingly,1,0
Telephonic,1,0
deliver,4,15
Jstfrnd,3,0
connections,1,0
wordnot,0,0
gucci,1,0
bus,41,3
starer,1,0
song,10,3
lavender,0,0
careless,0,0
barolla,0,0
Yest,2,0
Safe,1,0
blocked,1,0
saw,21,0
Peace,1,0
spoil,2,0
fulfil,1,0
Crucify,1,0
julianaland,0,0
comfey,0,0
payment,2,0
Senthil,1,0
helpful,1,0
sha,42,2
jolt,2,0
things,34,2
multis,0,0
normal,9,0
nos,4,2
naseeb,1,0
themP,0,0
evaporated,1,0
playing,5,0
transcribing,0,0
alibi,0,0
Grumpy,1,0
latest,1,27
weather,5,0
sry,1,0
basketball,0,0
dippeditinaDEW,0,0
side,40,0
Pansy,0,0
latebut,0,0
randomlly,1,0
todayhe,0,0
thinl,1,0
grave,2,0
Uni,2,1
Moms,1,0
optimistic,1,0
faultfed,0,0
studyn,1,0
long,40,1
jam,1,1
tackle,1,0
THINK,2,0
labor,2,0
timehope,0,0
Woke,1,0
drama,1,0
spouse,1,0
honeymoon,1,0
shitstorm,1,0
WISHING,1,0
wifes,0,0
outsider,1,0
Aft,8,0
torch,5,0
waitin,32,20
TALKIN,2,0
zoom,1,0
disagreeable,1,0
funny,4,0
laptop,7,0
liquor,0,0
forevr,2,0
match,3,11
bak,6,0
Fine,3,0
Kidz,0,0
FUCKIN,4,0
edge,1,0
bathe,8,0
Slaaaaave,1,0
missed,17,1
LOTS,3,0
destination,1,0
almost,12,0
fundamentals,1,0
dime,2,0
SORRY,4,0
dollar,5,0
thing,223,5
uttered,1,0
Schools,1,0
sch,38,0
Scotch,2,0
tough,7,0
Diwali,1,0
vilikkamt,0,0
haf,20,0
parents,5,0
train,17,1
rules,1,0
Exam,1,0
ahead,6,0
armands,0,0
sudden,2,0
trying,27,15
londn,1,0
syd,1,0
dearer,3,0
commit,1,0
italian,2,0
wanna,22,4
prominent,1,0
taxt,1,0
mates,6,5
ArPraveesh,0,0
xam,13,0
Aldrine,0,0
Well,33,2
steyn,1,0
ralphs,1,0
KEEP,1,2
exhausted,2,0
falls,2,0
STOP,1,45
auctionpunj,0,0
problum,1,0
saidif,0,0
slurp,0,0
someones,0,0
naked,1,1
bored,12,1
ipaditan,0,0
jess,2,0
daysso,0,0
heap,6,4
Stylist,1,0
Networking,2,0
HOWU,1,0
HAVBEEN,1,0
planning,8,0
masters,2,0
mid,12,2
waht,2,0
trainners,1,0
LOVEME,2,0
bilo,1,0
gate,4,0
across,10,0
frwd,1,0
grow,2,2
FEELINGOOD,1,0
bcums,4,0
gym,8,0
warner,1,0
sts,6,6
anybody,3,0
personMeet,0,0
Txt,4,66
booty,2,1
pissed,3,0
winterstone,1,0
Jealous,0,0
african,1,0
angels,1,0
triumphed,0,0
hustle,1,0
macho,3,0
positive,1,0
hee,21,0
albi,1,0
lately,3,0
plane,4,0
buses,2,0
cake,0,0
person,37,2
rajini,1,0
receiving,2,2
conditions,0,2
selflessness,0,0
Although,1,0
cashed,1,0
anymore,2,0
plz,14,0
nowi,3,0
Aww,3,0
hooch,1,0
Log,2,2
aunt,10,0
cappuccino,1,0
Carry,1,0
pulls,1,0
call,247,181
Cute,4,0
ANNIE,1,0
thoughts,1,0
boss,3,0
watching,22,0
putting,4,0
beehoon,0,0
priest,1,0
SentDate,0,0
asleep,4,0
janarige,1,0
laughs,0,0
Went,4,0
mumbai,0,0
bandages,1,0
tests,0,1
Surly,1,0
wins,4,0
totes,0,0
Tim,7,0
Wondering,1,0
cold,4,0
Another,3,0
CATCH,1,0
NEWQUAYSEND,0,0
boy,33,0
Nigeria,0,0
messageIts,0,0
silently,2,0
Atlast,1,0
sea,39,1
finish,53,0
Neither,1,0
cleared,2,0
dont,87,6
friendships,1,0
distract,2,0
decisions,2,0
wif,33,0
pub,16,0
rofl,1,0
food,15,0
FIND,2,2
Hiya,2,0
heaven,1,0
Long,3,0
asus,1,0
publish,1,0
animal,0,0
Normally,1,0
bill,10,5
stifled,1,0
cock,2,0
Rose,4,0
tryin,28,15
final,12,12
INTELLIGENT,1,0
AlaikkumPride,0,0
palm,0,0
firesAre,0,0
picking,12,0
pack,3,3
disturb,11,0
mutations,0,0
knowhe,0,0
served,2,0
Imagine,2,0
boyy,0,0
elephant,1,0
sochte,1,0
Sugar,1,0
situation,5,0
LATER,1,0
luvNight,0,0
merely,1,0
fair,4,0
answerin,5,0
maili,0,0
soooo,3,0
informed,3,2
admiti,0,0
purse,2,0
neck,4,0
youhow,0,0
fringe,2,0
disappointment,0,0
dnt,42,0
season,3,1
msn,0,0
xin,5,0
store,3,4
sales,1,0
nite,24,4
strewn,1,0
official,3,5
kits,0,0
luv,17,0
Mom,3,0
Hes,0,0
inour,0,0
directors,0,0
diwali,1,0
weird,6,0
karaoke,2,0
soil,0,0
bath,18,0
SPK,2,0
weds,1,0
tlk,2,0
Kent,1,0
crowd,1,0
developer,1,0
big,32,3
callingForgot,0,0
costume,0,0
sura,5,0
car,120,13
Yagoing,0,0
course,9,0
noon,20,0
champlaxigating,0,0
Force,0,0
tts,0,0
fastpls,0,0
kisses,1,0
suggest,4,0
sterling,1,0
hurting,2,0
Today,18,18
Pray,1,0
Kthen,0,0
hail,1,0
GOODNITE,1,0
devouring,0,0
Gimme,2,0
Shuhui,2,0
terrific,2,0
refund,1,0
gong,0,0
manege,1,0
Dis,5,2
island,2,0
kind,20,1
busetop,1,0
brisk,1,0
retard,1,0
length,2,0
bite,2,0
Values,0,0
King,2,1
PUTTIN,1,0
worc,1,0
differ,7,0
Jenxxx,0,0
homelove,0,0
coat,1,0
collected,1,0
meAre,0,0
raining,9,0
department,1,0
phonebook,1,0
Forgot,4,0
birth,17,0
sleepingand,0,0
IKNO,2,0
olave,1,0
switch,1,0
shd,7,0
Neshanthtel,0,0
become,5,1
COLLEGE,1,0
Motherinlaw,0,0
Sherawat,1,0
Enjoy,8,5
sirs,0,0
itjust,0,0
nevamindWe,0,0
nipost,1,0
HONEYDID,0,0
tonitebusy,0,0
navigate,1,0
didntgive,1,0
chechi,1,0
mentionned,1,0
goal,1,2
Kkany,0,0
airtel,1,0
art,128,28
reached,9,0
women,1,1
singing,2,0
jst,3,0
tog,19,0
lyrics,0,0
bars,1,0
sandiago,1,0
air,38,1
Regards,0,0
NEEDS,1,0
Sold,1,0
computers,0,0
BMW,3,0
ashes,0,0
okie,3,0
panic,3,0
creative,0,0
beggar,0,0
nightsWe,0,0
thia,1,0
cultures,1,0
notebook,1,0
Spose,1,0
Pose,1,0
bloodblood,0,0
positions,1,0
channel,0,0
divorce,0,0
Bring,3,0
Ela,1,0
wondering,7,0
FRESHERS,1,0
fights,0,0
items,1,1
officethenampet,0,0
disturbancemight,0,0
iam,3,0
Life,7,0
bare,7,0
thinkin,25,0
wined,1,0
bag,7,0
sexy,9,9
Shopping,2,4
public,5,0
Argument,3,0
care,51,12
wrench,2,0
lose,32,3
PEACH,0,0
Luxury,0,0
considering,3,0
hurry,2,1
padhegm,0,0
talks,1,0
net,16,23
welltake,0,0
affidavit,1,0
Gravity,0,0
selling,3,1
necessary,2,0
handed,3,0
flow,5,1
Kothi,1,0
Sweetheart,1,0
hectic,1,0
yifeng,1,0
social,5,0
bags,0,0
Treat,1,0
brats,1,0
google,3,0
Charles,1,0
moves,2,0
Hahatake,0,0
HeyGreat,0,0
Guide,2,0
sachinjust,0,0
route,1,0
Say,7,0
barely,6,0
outstanding,3,0
IndianPls,0,0
REALY,1,0
CALL,9,21
paining,1,0
argument,3,0
wahala,0,0
groovying,1,0
dub,4,0
Hanging,1,0
Spiral,1,0
shot,2,1
depressed,1,0
FROMWRK,1,0
strips,1,0
listn,1,0
Hhahhaahahah,1,0
Junna,1,0
Babes,1,1
mathematics,0,0
results,2,3
dead,3,0
old,101,7
reading,8,0
ambitious,0,0
atyour,0,0
Jeremiah,0,0
province,1,0
progress,0,0
barring,1,0
probs,2,0
godnot,0,0
favor,1,0
lays,2,0
report,2,0
Available,1,2
POINT,1,0
abstract,0,0
dsnt,0,0
pubs,1,0
affair,3,0
CAUSE,2,0
misfits,1,0
passThey,0,0
Declare,1,0
HRS,1,0
tallent,1,0
forced,1,0
adress,0,0
dinero,1,0
jolly,1,0
viveki,0,0
hostile,1,0
onwards,2,0
