,word,S_Prob,NS_Prob,Ratio,Info_Gain,label
613,FREE,0.012804,4e-05,320.1,801.9419442935367,ham
946,STOP,0.006623,4e-05,165.575,367.41005800276116,ham
3509,award,0.006623,4e-05,165.575,367.41005800276116,ham
3941,Nokia,0.006328,4e-05,158.2,347.91446500337423,ham
854,latest,0.003974,4e-05,99.35,198.4186280281436,ham
7413,gua,0.003826,4e-05,95.65,189.45251779785102,ham
5529,subs,0.003826,4e-05,95.65,189.45251779785102,ham
2785,await,0.003532,4e-05,88.3,171.82833012589933,ham
319,voucher,0.0032380000000000004,4e-05,80.95,154.4701542575863,ham
5058,service,0.007947,0.000121,65.677686,119.36379842521237,ham
2198,CHAT,0.002502,4e-05,62.55,112.35401849254141,ham
2356,Mobile,0.005004,8e-05,62.55,112.35401849254141,ham
980,Txt,0.009713,0.000161,60.329193000000004,107.4177881526423,ham
1997,code,0.002355,4e-05,58.875,104.20468292306309,ham
1735,phones,0.002208,4e-05,55.2,96.1550370906518,ham
2275,selected,0.003679,8e-05,45.9875,76.46064784109194,ham
6469,Congratulations,0.001766,4e-05,44.15,72.62369075438487,ham
7452,anytime,0.001766,4e-05,44.15,72.62369075438487,ham
4663,network,0.003385,8e-05,42.3125,68.81995627761135,ham
5561,video,0.0032380000000000004,8e-05,40.475,65.05088805429352,ham
8235,PHONE,0.0016190000000000002,4e-05,40.475,65.05088805429352,ham
475,services,0.0016190000000000002,4e-05,40.475,65.05088805429352,ham
7227,attempt,0.003091,8e-05,38.6375,61.31806093573224,ham
1638,Free,0.006181,0.000161,38.391304,60.82076547422781,ham
2798,Update,0.001472,4e-05,36.8,57.62319972718544,ham
7161,offers,0.001472,4e-05,36.8,57.62319972718544,ham
4386,Sony,0.001472,4e-05,36.8,57.62319972718544,ham
4848,select,0.004415,0.000121,36.487603,56.998938773744534,ham
4885,Text,0.0057399999999999994,0.000161,35.652174,55.33524075621664,ham
8133,rates,0.001325,4e-05,33.125,50.355163755048636,ham
2556,txting,0.001325,4e-05,33.125,50.355163755048636,ham
6848,discount,0.001325,4e-05,33.125,50.355163755048636,ham
6694,camera,0.002649,8e-05,33.1125,50.33073414984632,ham
396,txt,0.011332,0.000362,31.303866999999997,46.81800055565726,ham
2216,pounds,0.002502,8e-05,31.275,46.76229613187968,ham
6890,Deliver,0.0011769999999999999,4e-05,29.425,43.216982174342775,ham
4993,customer,0.0047090000000000005,0.000161,29.248447,42.881230374830366,ham
7472,shows,0.004562,0.000161,28.335403999999997,41.15234054785904,ham
805,HON,0.00206,8e-05,25.75,36.32751375946315,ham
5430,draw,0.004857,0.00020099999999999998,24.164179,33.42321686323595,ham
4601,receive,0.0047090000000000005,0.00020099999999999998,23.427861,32.08990586540971,ham
8111,mobile,0.011773,0.000523,22.510516,30.442894316738254,ham
752,Double,0.001766,8e-05,22.075,29.666608222910057,ham
103,arrive,0.000883,4e-05,22.075,29.666608222910057,ham
2461,MITE,0.000883,4e-05,22.075,29.666608222910057,ham
4811,WAIT,0.000883,4e-05,22.075,29.666608222910057,ham
86,Gam,0.000883,4e-05,22.075,29.666608222910057,ham
538,replying,0.000883,4e-05,22.075,29.666608222910057,ham
6298,liver,0.003385,0.000161,21.024845000000003,27.81025215450344,ham
6624,Call,0.020309,0.0009660000000000001,21.02381,27.808433642327746,ham
1408,value,0.0016190000000000002,8e-05,20.2375,26.433349489896948,ham
5305,custom,0.0047090000000000005,0.000241,19.539419,25.223663541827367,ham
